league,season,team,player,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ENG-Premier League,2526,Newcastle United,Nick Pope,ENG,GK,33-362,1992,22,22,1966,21.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Newcastle United,Nick Woltemade,GER,"FW,MF",24-061,2002,28,21,1671,18.6,7,3,10,6,1,1,0,0,0.38,0.16,0.54,0.32,0.48
ENG-Premier League,2526,Newcastle United,Sandro Tonali,ITA,MF,25-343,2000,30,26,2127,23.6,0,2,2,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08
ENG-Premier League,2526,Newcastle United,Sven Botman,NED,DF,26-094,2000,19,15,1295,14.4,1,1,2,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14
ENG-Premier League,2526,Newcastle United,Valentino Livramento,ENG,DF,23-155,2002,16,13,1255,13.9,0,1,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07
ENG-Premier League,2526,Newcastle United,William Osula,DEN,FW,22-255,2003,18,2,378,4.2,3,0,3,3,0,0,0,0,0.71,0.0,0.71,0.71,0.71
ENG-Premier League,2526,Newcastle United,Yoane Wissa,COD,FW,29-225,1996,14,4,432,4.8,1,0,1,1,0,0,1,0,0.21,0.0,0.21,0.21,0.21
ENG-Premier League,2526,Nottingham Forest,Angus Gunn,SCO,GK,30-084,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Nottingham Forest,Arnaud Kalimuendo,FRA,FW,24-086,2002,9,0,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Nottingham Forest,Callum Hudson-Odoi,ENG,MF,25-160,2000,30,21,1841,20.5,3,4,7,3,0,0,0,0,0.15,0.2,0.34,0.15,0.34
ENG-Premier League,2526,Nottingham Forest,Chris Wood,NZL,FW,34-130,1991,9,7,566,6.3,2,0,2,2,0,0,0,0,0.32,0.0,0.32,0.32,0.32
ENG-Premier League,2526,Nottingham Forest,Dan Ndoye,SUI,MF,25-173,2000,24,14,1173,13.0,1,1,2,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15
ENG-Premier League,2526,Nottingham Forest,Dilane Bakwa,FRA,MF,23-233,2002,10,3,345,3.8,0,1,1,0,0,0,1,0,0.0,0.26,0.26,0.0,0.26
ENG-Premier League,2526,Nottingham Forest,Douglas Luiz,BRA,MF,27-342,1998,8,5,315,3.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Nottingham Forest,Elliot Anderson,ENG,MF,23-161,2002,32,32,2862,31.8,2,2,4,1,1,1,6,0,0.06,0.06,0.13,0.03,0.09
ENG-Premier League,2526,Nottingham Forest,Ibrahim Sangaré,CIV,MF,28-135,1997,24,22,1855,20.6,2,2,4,2,0,0,5,0,0.1,0.1,0.19,0.1,0.19
ENG-Premier League,2526,Nottingham Forest,Igor Jesus,BRA,FW,25-050,2001,31,23,1887,21.0,3,3,6,3,0,0,0,0,0.14,0.14,0.29,0.14,0.29
ENG-Premier League,2526,Nottingham Forest,Jair Cunha,BRA,DF,21-040,2005,3,2,215,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Nottingham Forest,James Mcatee,ENG,MF,23-180,2002,10,1,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Nottingham Forest,John,BRA,GK,30-062,1996,5,5,437,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Nottingham Forest,Jota Silva,POR,FW,26-258,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Nottingham Forest,Lorenzo Lucca,ITA,FW,25-218,2000,3,1,121,1.3,1,0,1,1,0,0,0,0,0.74,0.0,0.74,0.74,0.74
ENG-Premier League,2526,Nottingham Forest,Luca Netz,GER,"DF,MF",22-336,2003,2,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Nottingham Forest,Matz Sels,BEL,GK,34-049,1992,25,24,2128,23.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
